HR,Irradiance,Temperature,Humidity,POWER
10,628.25,26.32,18.14,9.8969305
11,674.33,29.12,14.76,11.47515782
12,814.78,30.86,13.8,14.49027486
13,752.8,31.77,13.6,13.7154052
14,602.92,31.95,13.81,11.0694323
15,422.58,31.3,14.84,7.6867143
16,232.5,29.56,22.65,4.12459
17,50.05,25.47,43.2,0.931335575
18,0,23.03,42.59,0
19,0,21.52,45.75,0
20,0,20.31,48.08,0
21,0,19.32,50.43,0
22,0,18.44,53.42,0
23,0,17.69,57.15,0
0,0,17.17,60.56,0
1,0,17.07,61.4,0
2,0,17.11,60.99,0
3,0,16.89,62.01,0
4,0,16.56,63.26,0
5,0,16.57,62.42,0
6,10.18,16.59,63.04,0.17417379
7,107.1,18.1,59.7,1.3439545
8,331.52,20.44,50.98,4.37252096
9,455.42,25.86,31.21,7.09754754
10,640.47,29.59,21.56,11.02994079
11,733.08,31.35,19.13,13.2009761
12,784.2,32.28,18.13,14.4520392
13,715.47,32.72,17.64,13.34759278
14,588.35,32.67,17.64,10.99594003
15,401.33,32.07,18.54,7.446781395
16,219.45,30.38,27.85,3.98303845
17,51.6,27.27,43.41,0.9967094
18,0,25.6,41.18,0
19,0,24.31,44.36,0
20,0,22.99,48.25,0
21,0,21.72,52.44,0
22,0,20.6,56.82,0
23,0,19.71,61.06,0
0,0,19.07,64.79,0
1,0,18.72,67.27,0
2,0,18.56,68.79,0
3,0,18.32,70.8,0
4,0,17.96,73.96,0
5,0,17.63,77.17,0
6,10.82,17.45,80.3,0.18553905
7,121.55,19.97,72.28,1.618121575
8,285.98,22.59,61.41,4.05955469
9,473.98,27.82,33.29,7.80118062
10,641.05,31.11,21.92,11.47831698
11,720.03,32.7,19.26,13.40535395
12,767.33,33.74,17.94,14.64785889
13,705.6,34.2,17.44,13.635184
14,571.05,34.11,17.66,11.04676948
15,391.95,33.23,19.01,7.480836825
16,220.93,31.13,27.91,4.083385405
17,57.1,26.97,43.86,1.07711915
18,0,24.64,47.35,0
19,0,23.82,48.51,0
20,0,23.05,50.57,0
21,0,22.48,52.89,0
22,0,21.99,55.14,0
23,0,21.51,57.34,0
0,0,20.91,59.86,0
1,0,20.24,62.94,0
2,0,19.62,66.34,0
3,0,19.15,69.15,0
4,0,19.08,69.82,0
5,0,19.27,68.82,0
